CustomerID,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,HomeOwner,CarsOwned,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardSpendMonth
3964-QJWTRG-NPN,Female,20,15,Professional,Yes,0,No,31000,11.1,1.200909,2.240091,Yes,Unmarried,3,0,0,2,22,Yes,Yes,Mast,2,816.6
0648-AIPJSP-UVM,Male,22,17,Sales,No,0,No,15000,18.6,1.22202,1.56798,Yes,Unmarried,2,6,1,2,29,Yes,No,Visa,4,426
5195-TLUDJE-HVO,Female,67,14,Sales,No,16,No,35000,9.9,0.92862,2.53638,No,Married,3,3,1,3,24,Yes,No,Visa,35,1842.2
4459-VLPQUH-3OL,Male,23,16,Sales,No,0,No,20000,5.7,0.0228,1.1172,Yes,Married,5,0,1,3,38,No,No,Visa,5,3409.9
8158-SMTQFB-CNO,Male,26,16,Sales,No,1,No,23000,1.7,0.214659,0.176341,No,Married,4,0,0,1,32,No,No,Disc,8,2551
9662-FUSYIM-1IV,Male,64,17,Service,No,22,No,107000,5.6,1.060584,4.931416,No,Unmarried,1,11,1,0,23,No,No,Visa,18,2282.7
7432-QKQFJJ-K72,Female,52,14,Professional,No,10,No,77000,1.9,0.501809,0.961191,No,Unmarried,1,2,0,2,32,No,No,Othe,3,8223.2
8959-RZWRHU-ST8,Female,44,16,Professional,No,11,No,97000,14.4,5.950368,8.017632,No,Married,2,10,1,1,31,No,Yes,AMEX,25,5927
9124-DZALHM-S6I,Female,66,12,Professional,No,15,Yes,16000,2.6,0.102336,0.313664,No,Unmarried,1,1,1,1,25,Yes,Yes,Mast,26,3265.9
3512-MUWBGY-52X,Male,47,11,Labor,No,19,No,84000,4.1,1.770216,1.673784,No,Unmarried,2,1,1,4,29,Yes,Yes,Othe,2,1996.4
5621-QSZPSF-NF2,Female,59,19,Professional,No,8,No,47000,8.6,1.358112,2.683888,No,Unmarried,1,7,0,3,17,No,Yes,Disc,16,4889.7
8241-PWPONH-62O,Female,33,8,Sales,No,4,No,19000,0.9,0.130131,0.040869,No,Married,5,6,0,2,28,No,No,Mast,6,3382.6
8795-FYOXCT-P09,Male,44,10,Professional,No,12,No,73000,2.8,1.250928,0.793072,No,Unmarried,1,1,1,1,25,Yes,Yes,Disc,1,5343.6
1705-NMIQNO-IC4,Male,58,18,Professional,No,3,No,63000,10.5,1.924965,4.690035,No,Unmarried,1,0,1,0,16,No,Yes,Disc,25,5935
9205-PAZEXY-90Q,Female,72,20,Agriculture,Yes,27,Yes,17000,9.8,1.276156,0.389844,No,Married,2,0,1,1,32,Yes,Yes,Mast,33,2331.7
4225-PZZDIY-IBH,Female,66,13,Labor,Yes,31,Yes,23000,9.3,0.934743,1.204257,No,Married,2,9,0,3,14,Yes,Yes,Mast,40,2974.7
0758-EQEGIQ-3OF,Female,57,17,Agriculture,No,24,No,171000,9.5,1.803195,14.441805,No,Married,3,1,1,2,19,Yes,No,Disc,19,3059.4
0649-TBFJFL-QU4,Male,63,14,Labor,Yes,29,No,424000,10.7,13.111352,32.256648,No,Married,2,0,1,3,29,No,Yes,Mast,36,4957.5
2228-KOLOPU-FY3,Female,28,11,Professional,No,4,No,23000,4.8,0.190992,0.913008,No,Married,3,10,1,0,30,Yes,No,Visa,10,4420.9
3853-NVDCOJ-TIN,Female,78,16,Professional,No,10,Yes,22000,15.2,0.692208,2.651792,No,Unmarried,1,0,0,2,23,No,No,Visa,10,81.1
0765-UXAFYM-PDR,Male,61,16,Professional,No,4,No,35000,10.1,1.233715,2.301285,No,Married,2,0,0,4,34,No,No,AMEX,27,2719.8
9937-SFPLRK-H9Y,Male,70,17,Sales,Yes,2,No,28000,9.3,1.195236,1.408764,No,Married,2,9,0,5,29,Yes,Yes,AMEX,26,2677.1
0712-WQXYVV-HUP,Male,61,14,Labor,No,18,Yes,12000,21.5,0.56502,2.01498,No,Unmarried,1,0,1,3,25,Yes,No,AMEX,24,2450.3
6441-FJUWZQ-7G8,Male,37,11,Professional,Yes,2,No,29000,15.7,3.319137,1.233863,Yes,Unmarried,1,0,0,0,29,No,No,Othe,12,5566.1
7634-AVNEXZ-7AG,Male,39,12,Professional,No,5,No,130000,11.3,4.68611,10.00389,No,Married,4,5,1,2,32,Yes,Yes,Disc,2,4537.4
2041-PNMGHX-TXJ,Female,73,14,Service,No,28,Yes,69000,14.8,1.164168,9.047832,No,Married,2,0,0,1,27,No,No,Visa,32,2126.7
4626-BQZAUJ-V9K,Female,26,16,Sales,No,0,No,24000,11.7,1.297296,1.510704,Yes,Married,6,1,0,4,27,Yes,No,Disc,8,4476.7
2969-ODPCDX-5DC,Female,24,17,Labor,No,1,No,29000,14,1.39258,2.66742,Yes,Unmarried,1,12,1,0,14,No,Yes,Disc,5,2799.5
4974-FUBHDF-Z7L,Female,77,15,Professional,No,26,Yes,11000,10.2,0.255816,0.866184,No,Unmarried,1,2,1,2,21,Yes,No,Visa,39,1949.5
2525-OSULNV-0KS,Male,36,19,Professional,Yes,3,No,30000,15.5,0.41385,4.23615,No,Unmarried,1,7,1,3,24,Yes,Yes,AMEX,10,3009.7
4973-FHPBZQ-AAA,Male,55,14,Service,No,23,No,80000,6.5,0.0312,5.1688,No,Unmarried,1,9,1,4,25,No,No,Visa,21,3940.2
4726-RQKGNB-WAK,Female,60,18,Professional,No,13,No,51000,7.8,1.209312,2.768688,No,Married,2,2,0,2,26,Yes,No,Disc,38,1124.7
6592-QBSENI-6Y4,Female,59,8,Sales,Yes,4,No,30000,2.8,0.26292,0.57708,No,Married,4,1,0,0,15,Yes,No,Visa,2,3421.7
3550-PQUPPM-42T,Male,53,20,Sales,No,11,No,141000,9.9,9.589833,4.369167,No,Married,3,1,1,0,23,Yes,Yes,Disc,13,4459
9809-NBCXAS-1RB,Male,36,12,Sales,No,5,No,45000,8.3,0.88893,2.84607,Yes,Unmarried,2,3,0,3,26,Yes,Yes,Disc,13,4611.5
8733-EDAXNE-8DV,Male,47,20,Crafts,No,17,No,137000,13.7,3.303344,15.465656,No,Married,2,2,1,1,21,No,Yes,AMEX,29,4161.2
8170-YHWTSQ-825,Male,75,11,Sales,No,2,Yes,10000,2.4,0.03888,0.20112,No,Unmarried,1,1,0,1,24,No,No,Disc,23,1972.7
1144-GVCZDP-8DV,Female,49,22,Professional,Yes,3,No,73000,9.2,1.437224,5.278776,No,Married,5,13,1,1,19,No,Yes,Disc,13,782.2
8846-JJEGFU-I69,Female,59,13,Professional,No,15,No,63000,6,0.59346,3.18654,No,Unmarried,1,0,0,1,16,Yes,No,Disc,13,2835.9
4226-TEHKPJ-GKG,Female,55,12,Service,No,10,No,50000,5.1,1.0863,1.4637,No,Married,3,0,1,2,21,Yes,No,AMEX,22,5011.1
9714-LCYJJB-SCS,Male,25,14,Professional,No,1,No,50000,10.5,1.218,4.032,Yes,Unmarried,5,1,0,0,15,No,Yes,Disc,7,3919.7
2866-TTOTKL-TA7,Male,78,11,Service,No,30,Yes,28000,9.8,1.635424,1.108576,No,Married,2,9,0,2,34,No,Yes,Visa,14,1637.2
7217-UECHSF-PCR,Female,48,11,Sales,No,2,No,23000,18.7,2.051577,2.249423,Yes,Unmarried,2,9,1,2,23,No,No,Othe,11,2680.9
0197-AMEAYR-851,Male,47,19,Sales,No,1,No,75000,2.2,0.1023,1.5477,No,Married,2,6,0,1,22,No,Yes,AMEX,15,3336.8
1743-WAHPKT-DNW,Male,75,10,Sales,No,11,No,28000,3.3,0.394548,0.529452,No,Married,2,0,1,1,20,Yes,No,AMEX,3,4535.2
9840-VEWFQZ-W5V,Female,43,19,Sales,No,4,No,33000,12.6,2.116422,2.041578,No,Married,2,5,1,1,22,Yes,Yes,Disc,9,2724.4
6203-JLXPIJ-YQZ,Male,45,10,Labor,No,15,No,44000,13.6,0.98736,4.99664,No,Married,5,1,1,1,39,Yes,No,Mast,27,2837.2
