CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
3964-QJWTRG-NPN,1,2,Female,20,15,Professional,Yes,0,No,31000,11.1,1.200909,2.240091,Yes,Unmarried,3,0,0,0,0,0,2,Own,Domestic,14300,22,Yes,Yes,Mast,2,5,816.6,No,5,19.5,34.4,Yes,29.5,126.1,Yes,No,0,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No
0648-AIPJSP-UVM,5,5,Male,22,17,Sales,No,0,No,15000,18.6,1.22202,1.56798,Yes,Unmarried,2,6,0,0,0,1,2,Own,Foreign,6800,29,Yes,No,Visa,4,5,426,Yes,39,26.7,330.6,Yes,54.85,1975,Yes,Yes,45.65,1683.55,Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes
5195-TLUDJE-HVO,3,4,Female,67,14,Sales,No,16,No,35000,9.9,0.92862,2.53638,No,Married,3,3,2,1,0,1,3,Own,Foreign,18800,24,Yes,No,Visa,35,9,1842.2,No,65,85.2,1858.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes
4459-VLPQUH-3OL,4,3,Male,23,16,Sales,No,0,No,20000,5.7,0.0228,1.1172,Yes,Married,5,0,0,0,0,1,3,Own,Foreign,8700,38,No,No,Visa,5,17,3409.9,Yes,36,18,199.45,No,0,0,Yes,No,0,0,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes
8158-SMTQFB-CNO,2,2,Male,26,16,Sales,No,1,No,23000,1.7,0.214659,0.176341,No,Married,4,0,0,0,0,0,1,Lease,Foreign,10600,32,No,No,Disc,8,8,2551,Yes,21,9.15,74.1,No,0,0,Yes,Yes,19.05,410.8,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No
9662-FUSYIM-1IV,4,4,Male,64,17,Service,No,22,No,107000,5.6,1.060584,4.931416,No,Unmarried,1,11,1,1,0,1,0,-1,-1,-1000,23,No,No,Visa,18,11,2282.7,No,28,24.3,264.9,Yes,35.5,970.95,Yes,No,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No
7432-QKQFJJ-K72,2,5,Female,52,14,Professional,No,10,No,77000,1.9,0.501809,0.961191,No,Unmarried,1,2,0,2,0,0,2,Own,Domestic,25600,32,No,No,Othe,3,20,8223.2,No,15,11.4,44.8,No,0,0,No,No,0,0,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No
8959-RZWRHU-ST8,3,4,Female,44,16,Professional,No,11,No,97000,14.4,5.950368,8.017632,No,Married,2,10,0,2,0,1,1,Own,Domestic,55500,31,No,Yes,AMEX,25,6,5927,No,46,44.55,612.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes
9124-DZALHM-S6I,2,3,Female,66,12,Professional,No,15,Yes,16000,2.6,0.102336,0.313664,No,Unmarried,1,1,1,0,0,1,1,Own,Foreign,8600,25,Yes,Yes,Mast,26,12,3265.9,Yes,53,63.15,1074.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No
3512-MUWBGY-52X,2,2,Male,47,11,Labor,No,19,No,84000,4.1,1.770216,1.673784,No,Unmarried,2,1,1,0,0,1,4,Own,Domestic,41000,29,Yes,Yes,Othe,2,11,1996.4,Yes,3,10.95,20.05,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No
