"cut","depth","table","price","x","y","z"
"Very Good",63.2,59,3730,6.55,6.46,4.11
"Ideal",62.6,55,814,4.28,4.31,2.69
"Ideal",60.9,55,781,4.47,4.5,2.73
"Good",64,56,1589,5.02,5.04,3.22
"Ideal",62.2,55,7134,6.79,6.83,4.23
"Ideal",62.4,53,1068,4.79,4.8,2.99
"Fair",64.7,62,592,4.14,4.11,2.67
"Premium",61.8,56,4102,6.47,6.42,3.98
"Premium",59.8,55,1271,4.84,4.77,2.87
"Ideal",61.5,57,2679,5.85,5.89,3.61
"Ideal",61.8,58,1399,4.73,4.79,2.94
"Ideal",61.9,54,1271,5.48,5.5,3.4
"Premium",62.5,59,10539,6.46,6.41,4.02
"Good",58.7,58,1824,5.74,5.85,3.4
"Ideal",62.8,53,1810,5.09,5.14,3.21
"Premium",62.7,55,452,4.29,4.26,2.68
"Premium",62.1,60,11863,7.28,7.22,4.5
"Ideal",60.6,56,2368,5.76,5.82,3.51
"Ideal",61.5,56,2536,5.74,5.71,3.52
"Ideal",61.8,57,12047,7.42,7.49,4.61
"Very Good",62.1,55,633,4.62,4.65,2.88
"Fair",60.1,65,2401,5.91,5.81,3.52
"Ideal",61,57,1024,4.58,4.54,2.78
"Ideal",62.8,57,6169,6.46,6.41,4.04
"Very Good",61.4,58,1284,5.09,5.14,3.14
"Ideal",63.4,57,1356,5.29,5.34,3.37
"Ideal",62.8,57,6933,6.48,6.45,4.06
"Ideal",60.1,57,1338,5.28,5.33,3.19
"Premium",60.6,58,18430,7.68,7.71,4.66
"Premium",59.4,62,1792,5.36,5.32,3.17
"Ideal",61.8,55,2106,5.6,5.56,3.45
"Premium",62.2,58,2800,5.6,5.66,3.5
"Premium",60.2,60,3713,6.45,6.39,3.87
"Premium",60,58,5080,6.93,6.91,4.15
"Fair",63.4,68,911,4.88,4.8,3.07
"Very Good",63.3,61,4937,6.84,6.8,4.32
"Ideal",61.7,57,1056,4.77,4.73,2.93
"Premium",62.4,58,518,4.26,4.24,2.65
"Premium",61.9,55,2994,6.92,6.85,4.26
"Very Good",62.5,58,3857,6.37,6.43,4
"Very Good",62.8,58,605,4.25,4.28,2.68
"Very Good",60.6,57,15334,8.19,8.25,4.98
"Premium",62.1,58,842,4.71,4.76,2.94
"Ideal",62.2,55,482,4.08,4.09,2.54
"Ideal",62.2,56,1822,5.13,5.16,3.2
"Ideal",62.3,54,825,4.37,4.4,2.73
"Good",58.5,61,2276,5.76,5.82,3.39
"Very Good",62.6,59,5733,6.1,6.16,3.84
"Ideal",62.3,57,6604,6.93,6.87,4.3
"Very Good",63.7,56,7001,6.27,6.33,4.01
"Premium",60.6,60,6541,7.05,7.1,4.29
"Good",64.2,60,3484,6.35,6.27,4.05
"Premium",62.7,59,1253,5.03,4.98,3.14
"Ideal",61.8,57,1181,4.94,4.9,3.04
"Ideal",63,56,414,3.94,3.9,2.47
"Ideal",60.9,56,1763,5.3,5.27,3.22
"Very Good",63.9,56,5588,6.47,6.51,4.15
"Ideal",61.2,56,619,4.27,4.29,2.61
"Very Good",62.3,59,878,4.32,4.38,2.71
"Fair",64.7,61,3730,6.06,5.99,3.9
"Good",59,59,4414,6.55,6.6,3.88
"Good",63.8,56,628,4.32,4.27,2.74
"Very Good",62.8,55,10314,7.29,7.32,4.59
"Very Good",62.1,56,2686,5.65,5.69,3.52
"Ideal",60.3,58,779,4.44,4.48,2.69
"Ideal",61.6,56,1243,4.8,4.78,2.95
"Good",64.1,59,6037,6.16,6.23,3.97
"Good",63.7,58,7216,7.15,7.22,4.58
"Ideal",62.5,55,1332,5.14,5.07,3.19
"Premium",62.2,58,3591,5.63,5.69,3.52
"Premium",60.4,57,6720,6.49,6.46,3.91
"Premium",59.9,59,770,4.44,4.41,2.65
"Ideal",62.6,56,1338,5.16,5.13,3.22
"Good",63.6,60,5647,7.3,7.26,4.63
"Good",63.6,57,16149,7.95,7.87,5.03
"Very Good",59,62,1377,5.46,5.49,3.23
"Ideal",62.1,54,2583,5.78,5.81,3.6
"Premium",60.8,61,830,4.79,4.72,2.89
"Ideal",61.9,56,4250,6.65,6.63,4.11
"Ideal",61.6,57,4720,6.68,6.66,4.11
"Good",64.6,54,1232,4.95,5.05,3.23
"Ideal",61.9,57,676,4.49,4.52,2.79
"Ideal",61.3,55,6397,7.7,7.63,4.7
"Good",64.2,61,7695,7.24,7.19,4.63
"Ideal",61.5,56,2610,5.74,5.78,3.54
"Ideal",61.4,57,544,4.33,4.37,2.67
"Ideal",61.7,56,9359,7.41,7.44,4.58
"Ideal",61.7,57,955,4.44,4.47,2.75
"Premium",60.9,60,810,4.61,4.56,2.79
"Premium",61.8,60,1237,5.2,5.22,3.22
"Premium",63,59,3107,5.79,5.76,3.64
"Good",60.2,59,3034,6.24,6.29,3.77
"Very Good",63.3,57,2010,5.84,5.79,3.68
"Ideal",60.6,57,2537,5.71,5.77,3.48
"Ideal",61.7,56,863,4.5,4.55,2.79
"Ideal",61.1,57,9580,7.13,7.07,4.34
"Ideal",60.8,57,536,3.96,3.99,2.41
"Premium",60.7,60,1624,5.09,5.12,3.1
"Premium",61.4,60,945,4.93,4.87,3.01
"Very Good",60.3,57,4265,6.35,6.38,3.84
"Good",62.4,62,16304,7.91,7.99,4.96
"Very Good",63.6,56,2908,5.9,5.95,3.77
"Very Good",60.4,59,2772,5.83,5.89,3.54
"Ideal",60.7,57,733,4.37,4.4,2.66
"Very Good",62.4,56,852,4.84,4.87,3.02
"Very Good",61.7,56,872,5.14,5.17,3.18
"Premium",61.8,56,1438,5.44,5.41,3.35
"Ideal",61.6,58,4111,5.98,6.01,3.69
"Fair",64.5,55,4765,6.24,6.07,3.97
"Ideal",61.7,56,2338,5.87,5.84,3.61
"Very Good",61.8,59,4780,6.3,6.33,3.9
"Premium",62.9,59,11878,7.34,7.29,4.6
"Premium",60.5,61,12770,8.47,8.4,5.1
"Ideal",62,55,3402,5.88,5.83,3.66
"Very Good",61.2,59,4186,6.2,6.26,3.81
"Fair",64.5,61,1788,5.23,5.19,3.36
"Ideal",61.8,55,1829,5.22,5.3,3.24
"Premium",60.5,57,2351,5.84,5.8,3.52
"Ideal",61.1,56,1013,4.63,4.6,2.82
"Ideal",61,55,614,4.74,4.77,2.9
"Ideal",61.6,56,794,4.67,4.72,2.89
"Very Good",63.3,57,8518,7.27,7.2,4.58
"Premium",62,59,629,4.51,4.56,2.81
