"age","fnlwgt","occupation","education_year","marital_status","race","gender","hours_per_week","income"
62,68461,"unknown",16,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,1
48,131762,"Other-service",9,"Never-married","White","Female",30,0
63,272425,"Exec-managerial",11,"Married-civ-spouse","White","Male",40,1
36,269509,"Sales",9,"Divorced","White","Male",35,0
58,203039,"Craft-repair",5,"Separated","White","Male",40,0
49,239865,"Tech-support",9,"Married-civ-spouse","White","Male",50,1
28,190350,"Protective-serv",5,"Married-civ-spouse","Black","Female",40,0
53,403121,"Adm-clerical",9,"Divorced","White","Female",30,0
18,216508,"unknown",9,"Never-married","White","Male",30,0
53,162381,"Prof-specialty",15,"Married-civ-spouse","White","Male",45,1
23,209770,"Adm-clerical",9,"Never-married","White","Female",40,0
57,31532,"Transport-moving",13,"Married-civ-spouse","White","Male",40,0
41,344519,"Exec-managerial",9,"Divorced","White","Female",60,1
17,142587,"Sales",7,"Never-married","White","Female",10,0
19,37332,"Adm-clerical",9,"Never-married","White","Female",20,0
35,313132,"Prof-specialty",15,"Married-civ-spouse","White","Male",40,1
32,153471,"Farming-fishing",9,"Never-married","White","Male",35,0
31,87950,"Sales",11,"Divorced","Amer-Indian-Eskimo","Female",40,0
31,197023,"Machine-op-inspct",11,"Married-civ-spouse","Amer-Indian-Eskimo","Male",40,0
30,169002,"Adm-clerical",11,"Never-married","White","Male",40,0
54,195015,"Adm-clerical",9,"Never-married","White","Female",40,0
20,258730,"Priv-house-serv",9,"Never-married","White","Female",40,0
36,48585,"Prof-specialty",10,"Married-civ-spouse","White","Female",4,0
35,207973,"Prof-specialty",16,"Married-civ-spouse","White","Male",55,0
26,50103,"Sales",10,"Never-married","White","Female",40,0
63,206052,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
30,235109,"Adm-clerical",11,"Divorced","White","Female",40,0
23,153643,"Machine-op-inspct",9,"Never-married","Black","Male",40,0
47,187087,"Exec-managerial",13,"Married-civ-spouse","White","Male",40,1
27,137645,"Sales",13,"Never-married","Black","Female",40,0
34,120672,"Handlers-cleaners",4,"Never-married","Black","Male",10,0
46,203785,"Sales",10,"Married-civ-spouse","White","Male",40,1
32,110171,"Prof-specialty",10,"Married-civ-spouse","White","Female",40,1
43,242804,"Handlers-cleaners",9,"Separated","White","Male",40,0
44,118484,"unknown",15,"Married-civ-spouse","White","Male",80,0
43,221550,"Adm-clerical",13,"Separated","White","Female",35,0
21,235442,"Adm-clerical",9,"Married-civ-spouse","White","Male",40,0
17,110723,"Sales",7,"Never-married","White","Female",25,0
18,348131,"Adm-clerical",7,"Never-married","Black","Female",20,0
30,132601,"Exec-managerial",13,"Married-civ-spouse","White","Male",50,1
28,311446,"Adm-clerical",9,"Divorced","White","Female",40,0
61,34632,"Other-service",13,"Divorced","White","Male",30,0
30,187618,"Exec-managerial",9,"Married-civ-spouse","White","Male",50,0
21,112906,"Other-service",11,"Never-married","White","Female",44,0
23,207546,"Machine-op-inspct",7,"Married-civ-spouse","White","Male",40,0
17,169037,"Handlers-cleaners",7,"Never-married","White","Male",40,0
23,414545,"Machine-op-inspct",10,"Never-married","Black","Male",40,0
54,378747,"Transport-moving",6,"Separated","Black","Male",45,1
21,274398,"Adm-clerical",11,"Never-married","Black","Female",40,0
27,188519,"Sales",9,"Divorced","White","Female",40,0
45,240629,"Prof-specialty",16,"Married-civ-spouse","White","Male",40,1
31,226696,"Farming-fishing",11,"Married-civ-spouse","White","Male",60,1
26,125089,"Exec-managerial",10,"Never-married","White","Male",40,0
62,178745,"Craft-repair",9,"Married-civ-spouse","White","Male",45,1
32,72338,"Prof-specialty",11,"Never-married","Asian-Pac-Islander","Male",40,0
24,448026,"Sales",13,"Never-married","White","Male",40,0
53,153486,"Transport-moving",9,"Separated","White","Male",30,0
62,199193,"Handlers-cleaners",9,"Married-civ-spouse","White","Male",25,0
49,296892,"unknown",9,"Married-civ-spouse","White","Male",40,0
22,232985,"Handlers-cleaners",9,"Never-married","White","Male",20,0
52,41496,"Sales",10,"Married-civ-spouse","White","Male",45,0
38,166062,"Adm-clerical",9,"Divorced","White","Female",50,0
22,148955,"unknown",10,"Never-married","Asian-Pac-Islander","Female",15,0
49,143459,"Handlers-cleaners",5,"Separated","White","Male",38,0
34,213887,"Prof-specialty",16,"Married-civ-spouse","White","Male",32,1
26,79078,"Farming-fishing",9,"Never-married","White","Male",50,0
41,166662,"Exec-managerial",15,"Married-civ-spouse","White","Male",50,1
38,186531,"Machine-op-inspct",9,"Never-married","White","Male",40,0
43,176138,"Exec-managerial",13,"Married-civ-spouse","White","Male",50,0
39,106838,"Sales",10,"Married-civ-spouse","White","Male",45,1
31,176711,"Craft-repair",9,"Divorced","White","Male",40,0
40,237671,"Tech-support",10,"Married-civ-spouse","White","Female",40,1
46,253116,"Prof-specialty",13,"Never-married","Black","Female",40,0
48,182541,"Prof-specialty",13,"Married-civ-spouse","White","Male",45,1
26,144483,"Sales",11,"Divorced","White","Female",35,0
24,289909,"Prof-specialty",10,"Married-civ-spouse","White","Male",40,0
44,62258,"Other-service",7,"Never-married","White","Female",40,0
33,178107,"Craft-repair",13,"Never-married","White","Male",20,0
36,130926,"Adm-clerical",13,"Divorced","White","Female",40,0
35,180342,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
19,184207,"Sales",10,"Never-married","White","Male",40,0
19,282721,"Other-service",10,"Never-married","Black","Male",12,0
37,192251,"Other-service",6,"Married-civ-spouse","White","Female",40,0
63,29859,"unknown",9,"Married-civ-spouse","White","Male",40,1
34,112212,"Adm-clerical",9,"Married-civ-spouse","White","Male",40,0
26,174921,"Sales",13,"Never-married","White","Female",40,0
22,152744,"Adm-clerical",10,"Never-married","Asian-Pac-Islander","Female",10,0
29,31360,"Farming-fishing",10,"Never-married","White","Male",40,0
52,236497,"Exec-managerial",13,"Married-civ-spouse","White","Male",48,1
24,63927,"Tech-support",10,"Never-married","White","Male",40,0
45,160173,"Exec-managerial",14,"Married-civ-spouse","White","Male",50,1
35,347491,"Craft-repair",11,"Never-married","White","Male",40,0
23,208946,"Sales",13,"Never-married","White","Male",40,0
30,175931,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
43,361280,"Craft-repair",6,"Married-civ-spouse","Asian-Pac-Islander","Male",42,0
18,256304,"unknown",9,"Never-married","Black","Female",30,0
26,291968,"Prof-specialty",13,"Never-married","White","Male",40,0
50,146015,"Craft-repair",9,"Married-civ-spouse","White","Male",40,0
42,198955,"Machine-op-inspct",5,"Divorced","Black","Female",46,0
39,139770,"Exec-managerial",14,"Married-civ-spouse","White","Female",30,1
40,176069,"Prof-specialty",13,"Divorced","White","Female",45,0
49,171411,"unknown",5,"Divorced","White","Male",40,0
54,182388,"Other-service",9,"Married-civ-spouse","White","Female",35,0
47,114459,"Prof-specialty",14,"Married-civ-spouse","White","Male",45,1
21,249150,"Sales",9,"Never-married","White","Female",24,0
27,159676,"Transport-moving",9,"Divorced","White","Male",40,0
28,119793,"Other-service",9,"Never-married","White","Male",40,0
31,393702,"Prof-specialty",9,"Never-married","White","Female",36,0
61,167347,"Adm-clerical",10,"Married-civ-spouse","White","Male",35,0
25,255849,"Adm-clerical",9,"Never-married","White","Female",40,0
20,181370,"Other-service",10,"Never-married","Black","Male",40,0
21,131620,"Machine-op-inspct",9,"Married-spouse-absent","White","Female",40,0
23,250743,"Adm-clerical",10,"Divorced","Black","Male",40,0
36,93225,"Craft-repair",13,"Never-married","White","Male",35,0
51,160703,"Craft-repair",8,"Married-civ-spouse","White","Male",45,0
42,99203,"Craft-repair",9,"Separated","White","Male",40,0
30,107793,"Transport-moving",10,"Married-civ-spouse","White","Male",56,1
58,95835,"Tech-support",10,"Married-civ-spouse","White","Male",36,0
48,156926,"Sales",13,"Married-civ-spouse","White","Male",45,1
36,214816,"Craft-repair",9,"Never-married","White","Female",40,0
47,265097,"Transport-moving",9,"Married-civ-spouse","White","Male",45,1
43,355431,"Handlers-cleaners",10,"Divorced","Black","Male",40,0
18,577521,"Sales",7,"Never-married","White","Male",13,0
45,55272,"Craft-repair",11,"Married-civ-spouse","White","Male",40,0
23,56774,"Craft-repair",9,"Never-married","White","Male",40,0
65,325089,"Craft-repair",6,"Divorced","White","Male",40,0
40,151294,"Handlers-cleaners",9,"Divorced","White","Female",48,0
47,246891,"Prof-specialty",14,"Divorced","White","Male",45,1
25,330850,"Protective-serv",9,"Married-civ-spouse","White","Male",70,0
31,49923,"Transport-moving",9,"Married-civ-spouse","White","Male",40,0
20,157541,"Craft-repair",10,"Never-married","White","Male",40,0
17,293440,"Adm-clerical",7,"Never-married","White","Female",15,0
68,218637,"Sales",10,"Married-civ-spouse","White","Male",55,1
40,132839,"Machine-op-inspct",10,"Divorced","Black","Male",40,0
22,306593,"Craft-repair",9,"Never-married","White","Male",40,0
25,37741,"Exec-managerial",13,"Married-civ-spouse","White","Female",40,0
27,179565,"Adm-clerical",13,"Never-married","White","Female",37,0
38,51838,"Prof-specialty",9,"Married-civ-spouse","White","Female",40,0
35,237943,"Exec-managerial",13,"Married-civ-spouse","White","Male",40,0
40,163215,"Prof-specialty",13,"Never-married","White","Female",40,0
48,96798,"Sales",14,"Divorced","White","Male",35,0
47,51664,"Craft-repair",10,"Married-civ-spouse","White","Male",40,0
35,193241,"Adm-clerical",10,"Married-civ-spouse","White","Male",38,0
61,268831,"Sales",9,"Married-civ-spouse","White","Male",53,0
20,177287,"Adm-clerical",9,"Never-married","White","Female",30,0
23,269687,"Tech-support",11,"Never-married","White","Male",40,0
42,337629,"Craft-repair",8,"Married-civ-spouse","Black","Male",60,1
48,213140,"Sales",12,"Married-civ-spouse","White","Male",60,1
25,47011,"unknown",13,"Never-married","White","Male",20,0
41,175398,"Machine-op-inspct",9,"Divorced","White","Female",45,0
37,339772,"Craft-repair",9,"Married-civ-spouse","Black","Male",40,0
63,326903,"Other-service",2,"Married-civ-spouse","White","Male",25,0
50,203098,"Exec-managerial",13,"Married-civ-spouse","White","Male",35,0
28,90872,"Adm-clerical",10,"Divorced","Black","Female",40,0
19,220819,"Farming-fishing",9,"Never-married","White","Female",40,0
37,32528,"Sales",13,"Married-civ-spouse","White","Male",50,0
44,236321,"Transport-moving",9,"Divorced","White","Male",25,0
44,443040,"Handlers-cleaners",9,"Married-civ-spouse","Black","Male",40,0
36,162302,"Adm-clerical",10,"Never-married","White","Female",35,0
30,161815,"Other-service",10,"Divorced","White","Female",35,0
28,111520,"Machine-op-inspct",7,"Never-married","White","Female",40,0
48,76855,"Transport-moving",10,"Divorced","White","Female",53,0
19,210308,"Adm-clerical",10,"Never-married","White","Female",15,0
45,160167,"Craft-repair",6,"Married-civ-spouse","White","Male",70,0
40,200766,"Machine-op-inspct",9,"Never-married","Black","Male",40,1
24,326931,"Transport-moving",5,"Never-married","Other","Male",40,0
25,311124,"Prof-specialty",15,"Never-married","White","Female",20,0
23,278254,"Machine-op-inspct",9,"Married-civ-spouse","Black","Male",45,0
66,113323,"Prof-specialty",13,"Married-civ-spouse","White","Male",40,1
53,337195,"Exec-managerial",12,"Married-civ-spouse","White","Male",45,1
73,26248,"Sales",4,"Married-civ-spouse","White","Male",30,1
33,232356,"Craft-repair",7,"Married-civ-spouse","White","Male",45,1
43,28451,"Prof-specialty",13,"Married-civ-spouse","White","Male",37,1
69,111238,"unknown",5,"Married-civ-spouse","White","Male",20,0
