"YYYYMM","ExRet","d.p","d.y","e.p","d.e","svar","b.m","ntis","tbl","lty","ltr","tms","dfy","dfr","infl","lzrt","ogap","wtexas","ndrbl","skvw","tail","dtoy","dtoat","ygap","rdsp","tchi","avgcor","sntm","fbm"
196507,1.1286,-3.479871232,-3.466527467,-2.859077026,-0.620794206,0.000521866,0.473382176,0.015627494,0.0384,0.0424,0.0022,0.004,0.004,-3e-04,0,-1.717288684,0.052140245,0,0.037290252,0.096746489,0.422979146,0.93840063,0.93840063,-2.90021897,0.020273694,-1.908277108,0.291495919,-0.497973978,0.141728942
196508,2.436,-3.495820749,-3.47354863,-2.871846019,-0.62397473,0.000107534,0.467360878,0.015601188,0.0384,0.0428,-0.0013,0.0044,0.0039,7e-04,0,-1.685799632,0.05320451,0,0.033109075,0.032329693,0.418012559,0.950490624,0.950490624,-2.913467693,0.023687129,-0.841760243,0.283306569,-0.473265217,0.146461545
196509,3.0099333,-3.521039004,-3.489534112,-2.893935236,-0.627103768,0.000299101,0.448537471,0.01689539,0.0392,0.0433,-0.0034,0.0041,0.0039,0.0019,0,-1.774417779,0.052573549,0,0.055494163,0.037789732,0.408727646,0.990379089,0.990379089,-2.93594053,0.025774387,1.055159983,0.117440201,-0.399254126,0.141707728
196510,2.5453667,-3.540526611,-3.513548333,-2.906955162,-0.633571449,0.000188379,0.434420599,0.017464193,0.0403,0.0433,0.0027,0.003,0.0037,0.0019,0.003164557,-1.787375688,0.059457064,0,0.068049392,0.017406408,0.448057979,1,1,-2.94953561,0.028097648,1.055159983,0.060140334,-0.319532624,0.138902597
196511,-0.7229333,-3.524288663,-3.533091632,-2.884385997,-0.639902666,0.000141419,0.440895311,0.0207625,0.0409,0.0441,-0.0062,0.0032,0.0035,5e-04,0,-1.80711749,0.060462646,0,0.050585882,0.043640427,0.444880754,0.9842595,0.9842595,-2.927924299,0.033854927,1.055159983,0.06593474,-0.462376937,0.126170917
196512,0.6699,-3.525819721,-3.516908556,-2.879717904,-0.646101817,0.000301366,0.430637806,0.020837519,0.0438,0.045,-0.0078,0.0012,0.0034,-0.0071,0.003154574,-1.899196034,0.069672599,0,0.057769632,0.067170672,0.417728126,1,1,-2.924882456,0.032060174,1.055159983,0.066485308,-0.377653471,0.105835299
196601,0.188,-3.523350417,-3.518493681,-2.874986839,-0.648363578,0.000151804,0.424398328,0.020278627,0.0459,0.0457,-0.0104,-2e-04,0.0032,0.0126,0,-1.878031744,0.076306052,0,0.086620197,0.039272267,0.404697567,0.989247636,0.989247636,-2.920055802,0.037563964,1.055159983,0.058576126,-0.381828779,0.086265915
196602,-1.6625,-3.498043492,-3.516077658,-2.847455925,-0.650587566,0.000337065,0.438496045,0.020025974,0.0465,0.0477,-0.025,0.0012,0.0034,0.0137,0.006289308,-1.935032886,0.079632413,0,0.069616094,0.063268252,0.394022107,0.956529166,0.956529166,-2.89462573,0.038588273,1.055159983,0.074783459,-0.338733169,0.06050267
196603,-2.6866,-3.468766378,-3.490823244,-2.815991653,-0.652774725,0.000931008,0.490175936,0.01678818,0.0459,0.046,0.0296,1e-04,0.004,-0.0355,0.003125,-1.917413507,0.09009657,0,0.094049451,0.012416295,0.38410601,0.929276993,0.929276993,-2.863542955,0.03139251,-0.017094641,0.130551741,-0.476750847,0.051076471
196604,1.8308,-3.483089206,-3.462787882,-2.828830256,-0.65425895,0.000351265,0.485498244,0.015636251,0.0462,0.0467,-0.0063,5e-04,0.0045,0.0076,0.00623053,-1.895987951,0.088558882,0,0.070995386,0.055691108,0.371277988,0.938230418,0.938230418,-2.875236629,0.031366786,0.500865451,0.145197824,-0.483979669,0.045672604
