"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","Spam"
0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,1.72,1.72,0,0,0,0,0,0,0,0,0,0.588,0,0.294,0,11,78,0
0.05,0,0,0.05,0.35,0,0.02,0,0,0.1,0.07,0.17,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.004,0,0.107,0.017,489,3271,1
1.11,0,0,0,0,0.74,0.37,0,0,0.37,3.35,2.61,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,7,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0.072,0,0,0,10,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0,0,0,5,35,0
0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0.303,0,0,0,9,24,0
0.46,0,0,0,0,0.46,0,0,0,0,1.87,0,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,5,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,1.28,0,0,0,0.131,0,0.262,0,7,65,0
0,0,0,0,0.35,0,0.35,0,0,0,1.42,0,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.481,43,418,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
0.93,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0.93,0,0.93,0,0,0,0,0,0,0,0,0,0,0,5,62,0
0.23,0,0,0,0,0,1.38,0,0,0,0.23,0,0,0,0,0.23,0.23,0,0,0.23,0,0,0,0,0,0.23,0.066,0,0,0,9,89,0
0.71,0,0,0.35,0.17,0.17,0.35,0,0,0,0.53,0.17,0,0.35,0,0,0,0,0,0,0,0,0.35,0,0,0,0.057,0,0.057,0,34,229,1
0,0,1.88,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,1.88,0,0,1.88,0,0,0,0,0,0,0,15,49,1
0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0.9,3.63,0,0,0,0,0,1.81,0,0,0,0,0,0.153,0,7,58,0
0,0,0,0,2.68,0,0.67,0,0,0,4.02,3.35,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.112,0,0.112,0,15,82,0
0,0,0.36,0.36,0.36,0,0.36,0,0,0.73,2.94,4.04,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.653,0,13,75,1
0,0,0,0,0,0,0,0,0,0,4.5,0.9,0,0,0,0,0,0.9,0.9,0,0,0,0,0,0,0,0.318,0,0,0,4,39,0
0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0.58,0.58,0,0,0,0,1.16,1.74,0,0,0,0,0.118,0,0,98,315,0
0,0,0,0.28,0.56,0,0.84,0,0,0,1.68,1.96,0,0,0,0,0,0,0,1.4,0,0,0,0.28,0,0.28,0.137,0.068,0.034,0,114,603,1
0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0.564,0,1,14,0
0.31,0,0,0,0,0,0.31,0,0,0,0.31,0.15,0,0,0,0.55,0.63,0.07,0,0.79,0,0,0.47,0,0,0,0.234,0.064,0,0,42,890,0
2,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,4,22,0
0.55,0,0.22,0,0.22,0,0.33,0,0,0.22,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0.034,0,14,302,1
0,0,0,0,0,0,0,0,0,0,2.11,2.81,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.047,0,0,0.047,12,163,0
0,0,0,0,0,0.61,0.61,0,0,0,0,0,0,0,0,1.85,0,0,0,0.61,0,0.61,0.61,0,0,0,0,0,0,0,6,67,0
0,0,0.09,0,0.09,0.48,0.77,1.65,0,0.87,3.21,2.43,0,0,0.09,0,0,0,0,0,0,0,0.29,0,0,0,0.03,0,0.06,0,20,329,1
1.18,0,0,0,0.78,0.78,0.78,0,0.39,0,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0.843,0.064,42,364,1
0,0,0,0,0,0,2.7,0,0,0,3.6,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.9,0.479,0,0,0,8,52,0
0,0,0,0,0,0,0.66,0,0,0.66,3.33,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0.66,0.254,0,0,0,7,35,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0,0.055,0.055,6,59,0
0.48,0,0,0,0.97,0.48,0,0,0,0,0.97,1.95,0,0,0.48,0,0,0,0,0,0,0,1.46,0,0,0,0.073,0,0.589,0,47,194,1
0,0,0.78,0,0,0,0.78,0,0,0,0.78,0,0,0,0,0.78,0.78,0,0,0,0.78,0.78,0,0,0,0.78,0.451,0,0,0.112,22,133,0
0,0,0,0,0,0,1.14,0,0,0,2.29,0,0,0,0,1.14,1.14,0,0,0,0,0,0,0,0,2.29,0,0,0.596,0.198,14,64,0
0.08,0,0.08,0.43,0.08,0,0.6,0.17,0,0.17,1.2,3.14,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0.085,0.028,0.092,0,48,1140,1
0.77,0,0.57,0.57,1.34,0,0.38,0,1.15,0.19,2.11,1.15,0,1.34,0.77,0,0,0,0,0,0.19,0,0,0,0,0,0.027,0,0.438,0.054,525,921,1
0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,0
0.26,0,0,0,0,0.26,1.06,0.26,0.26,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0.471,0,15,188,1
0.78,0,0.26,1.04,1.56,0.26,0.69,0.08,0.69,0.34,1.82,1.3,0,0.08,0.34,0,0,0,0,0.08,0,0.08,0,0,0,0,0.234,0,0.358,0.11,54,979,1
0,0,0,0,0,0,1.85,0,0,0,0.92,0.46,0,0,0,0.92,0,0,0,0,0.46,0,0.92,0,0,0,0.125,0,0,0,10,74,0
0,0,0.29,0,0,0,1.19,0,0,0,0.89,0.89,0,0,0,0,0,0.29,0,0.29,0,0,0,0,0,0.59,0.162,0,0,0,9,76,0
0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
0.62,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0.31,0,0,0,0,0,0,0,0.052,0,0.105,0.026,13,155,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571,0,1,4,0
0,0,0.54,0,0,0.54,0.54,0,0,2.73,4.91,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,70,1
0,0,0,0,0,0,1.69,0,0,0,1.69,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,4,19,0
