"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,6
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6
7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
